male,female
дізнавач,дізнавачка
дільничий,дільнича
діяч,діячка
дієтолог,дієтологиня
еволюціоніст,еволюціоністка
егоцентрист,егоцентристка
еквілібрист,еквілібристка
екзаменатор,екзаменаторка
еколог,екологиня
економіст,економістка
екскурсовод,екскурсоводка
експедитор,експедиторка
експерт,експертка
експлуататор,експлуататорка
екстраверт,екстравертка
екстреміст,екстремістка
електрик,електрикиня
еллін,еллінка
емпат,емпатка
емпірист,емпіристка
емігрант,емігрантка
ендокринолог,ендокринологиня
енергетик,енергетикиня
ентомолог,ентомологиня
ентузіаст,ентузіастка
енциклопедист,енциклопедистка
епідеміолог,епідеміологиня
ерудит,ерудитка
есеїст,есеїстка
ескімос,ескімоска
естет,естетка
етимолог,етимологиня
етнограф,"етнографка, етнографиня"
ефіоп,ефіопка
жартівник,жартівниця
жебрак,жебрачка
жертва,жертва
живописець,живописиця
житель,жителька
жнець,жниця
жонглер,жонглерка
жрець,жриця
журналіст,журналістка
заУчка,заУчка
забудовник,забудовниця
забудько,забудька
завойовник,завойовниця
завідувач,завідувачка
завіритель,завірителька
загарбник,загарбниця
заготівельник,заготівельниця
задавака,задавака
задирака,задирака
заздрісник,заздрісниця
закрійник,закрійниця
закупівельник,закупівельниця
замовник,замовниця
зануда,зануда
заочник,заочниця
заробітчанин,заробітчанка
заручник,заручниця
засланець,засланка
засновник,засновниця
заступник,заступниця
захисник,захисниця
заявник,заявниця
зберігач,зберігачка
звабник,звабниця
зварювальник,зварювальниця
зв’язковий,зв’язкова
здобувач,здобувачка
земляк,землячка
зловмисник,зловмисниця
злодій,злодійка
злочинець,злочиниця
злюка,злюка
знавець,знавчиня
знахар,знахарка
зрадник,зрадниця
кавказець,кавказка
кавоман,кавоманка
кадровик,кадровиця
казах,казашка
казкар,казкарка
канатоходець,канатоходиця
кандидат,кандидатка
каноїст,каноїстка
канцлер,канцлерка
капітан,капітанка
каратист,каратистка
караїм,караїмка
кардіолог,кардіологиня
карикатурист,карикатуристка
картограф,картографиня
кар’єрист,кар’єристка
касир,касирка
каскадер,каскадерка
каторжанин,каторжанка
квартиран,квартирантка
квітникар,квітникарка
кенієць,кенійка
керуючий,керуюча
керівник,керівниця
кидальник,кидальниця
китаєць,китаянка
клоун,клоунеса
клієнт,клієнтка
книголюб,книголюбка
князь,княгиня
коваль,ковалька
колега,колега
колекціонер,колекціонерка
колумніст,колумністка
колядник,колядниця
командир,командирка
комедіант,комедіантка
комендант,комендантка
коментатор,коментаторка
комерсант,комерсантка
компаньйон,компаньйонка
композитор,композиторка
комунікаційник,комінукаційниця
кондитер,кондитерка
кондуктор,кондукторка
конкурент,конкурентка
конкурсант,конкурсантка
консерватор,консерваторка
конспіратор,конспіраторка
конструктивіст,конструктивістка
конструктор,конструкторка
консул,консулка
консультант,консультантка
консьєрж,консьєржка
контактер,контактерка
контрабандист,контрабандистка
контролер,контролерка
конфідент,конфідентка
концертмейстер,концертмейстерка
кон’юнктурник,кон’юнкурниця
координатор,координаторка
коректор,коректорка
кореспондент,кореспондентка
кореєць,корейка
користувач,користувачка
король,королева
корсиканець,корсиканка
косметолог,косметологиня
космонавт,космонавтка
кочівник,кочівниця
кравець,кравчиня
крадій,крадійка
красень,красуня
краянин,краянка
краєзнавець,краєзнавиця
кредитор,кредиторка
кривдник,кривдниця
кримчанин,кримчанка
криміналіст,криміналістка
критик,"критикиня, критикеса"
кроманьйонець,кроманьйонка
ксенофоб,ксенофобка
кубинець,кубинка
кулеметник,кулеметниця
культурист,культуристка
культуролог,культурологиня
кулінар,кулінарка
куратор,кураторка
курсант,курсантка
кур’єр,кур’єрка
кухар,кухарка
кібернетик,кібернетикиня
кінознавець,кінознавиця
кінолог,кінологиня
лаборант,лаборантка
ласун,ласунка
лауреат,лауреатка
легкоатлет,легкоатлетка
ледар,ледарка
ледацюга,ледацюга
ледащо,ледащо
лейборист,лейбористка
лейтенант,лейтенантка
лектор,лекторка
лижник,лижниця
листоноша,листоноша
лицемір,лицемірка
лицемір,лицемірка
лобіст,лобістка
ловець,ловчиня
логопед,логопединя
логіст,логістка
льотчик,льотчиця
любитель,любителька
ліберал,лібералка
лівша,лівша
лівієць,лівійка
лідер,лідерка
лікар,лікарка
ліквідатор,ліквідаторка
лінгвіст,лінгвістка
лісничий,ліснича
літератор,літераторка
літературознавець,літературознавиця
літограф,літографиня
літредактор,літредакторка
ліцеїст,ліцеїстка
мавританець,мавританка
магнат,магнатка
магістр,магістриня
мажор,мажорка
мазохіст,мазохістка
майстер,майстриня
македонець,македонка
маклер,маклерка
максималіст,максималістка
малайзієць,малайзійка
маловір,маловірка
малоліток,малолітка
малюк,малючка
маляр,малярка
малієць,малійка
мамолог,мамологиня
мандрівник,мандрівниця
манекенник,манекенниця
мануфактурник,мануфактурниця
манікюрник,манікюрниця
маргінал,маргіналка
мариніст,мариністка
маркетолог,маркетологиня
маркіз,маркіза
масажист,масажистка
математик,математикиня
матеріаліст,матеріалістка
